section,completed
2.1.1,YES
2.1.2,YES
2.1.3,YES
2.2.1,YES
2.2.2,YES
2.2.3,YES
2.2.4,YES
2.2.5,YES
2.2.6,YES
2.2.7,YES
2.3.1,YES
2.3.2,YES
2.3.3,YES, as advised by Benjamin in thread "Editting Video Element #1840", double click and right click the 10px border will work. 
2.3.4,YES
2.3.5,NO (for group only)
2.3.6,NO (for group only)
2.4.1,YES, double click text element to choose font family
2.4.2,YES
2.4.3,YES
2.4.4,YES
2.4.5,NO (for group only)
2.4.6,NO (for group only)
2.4.7,NO (for group only)
2.6,YES
2.7,NO